filename,mcd_dB
KAS_F_FEAR_00177.wav,4.8756
KAS_F_FEAR_00178.wav,4.6369
KAS_F_FEAR_00187.wav,5.2690
KAS_F_FEAR_00188.wav,5.2224
KAS_F_FEAR_00208.wav,5.0894
KAS_F_FEAR_00211.wav,5.0698
KAS_F_FEAR_00217.wav,4.8305
KAS_F_FEAR_00224.wav,5.2405
KAS_F_FEAR_00225.wav,4.5889
KAS_F_HAPPY_00001.wav,4.9890
KAS_F_HAPPY_00020.wav,5.6855
KAS_F_HAPPY_00029.wav,5.5260
KAS_F_HAPPY_00030.wav,5.4727
KAS_F_HAPPY_00059.wav,5.4980
KAS_F_HAPPY_00071.wav,5.5636
KAS_F_HAPPY_00076.wav,5.1384
KAS_F_HAPPY_00080.wav,5.1826
KAS_F_HAPPY_00081.wav,5.4455
KAS_F_HAPPY_00085.wav,5.2245
KAS_F_HAPPY_00099.wav,5.8080
KAS_F_HAPPY_00111.wav,6.0601
KAS_F_HAPPY_00114.wav,5.2544
KAS_F_HAPPY_00124.wav,5.3320
KAS_F_HAPPY_00126.wav,5.3048
KAS_F_HAPPY_00133.wav,4.8071
KAS_F_HAPPY_00164.wav,5.3706
KAS_F_HAPPY_00165.wav,5.7439
KAS_F_HAPPY_00184.wav,5.2449
KAS_F_HAPPY_00190.wav,5.3493
KAS_F_HAPPY_00205.wav,5.3645
KAS_F_HAPPY_00206.wav,5.7435
KAS_F_HAPPY_00232.wav,5.5496
KAS_F_NAMES_00015.wav,4.8244
KAS_F_NAMES_00016.wav,4.8157
KAS_F_NAMES_00020.wav,3.8456
KAS_F_NAMES_00024.wav,5.2787
KAS_F_NAMES_00028.wav,5.3421
KAS_F_NAMES_00039.wav,5.0891
KAS_F_NAMES_00042.wav,4.7780
KAS_F_NAMES_00054.wav,4.8942
KAS_F_NAMES_00070.wav,4.3432
KAS_F_NAMES_00108.wav,4.5911
KAS_F_NAMES_00117.wav,5.0659
KAS_F_NAMES_00121.wav,5.4724
KAS_F_NAMES_00124.wav,5.4237
KAS_F_NAMES_00125.wav,5.8186
KAS_F_NAMES_00155.wav,5.8339
KAS_F_NAMES_00161.wav,5.7604
KAS_F_NAMES_00172.wav,6.1834
KAS_F_NAMES_00176.wav,5.1184
KAS_F_NAMES_00177.wav,5.8666
KAS_F_NAMES_00183.wav,6.0898
KAS_F_NAMES_00203.wav,5.4688
KAS_F_NAMES_00204.wav,5.5126
KAS_F_NAMES_00239.wav,5.6130
KAS_F_NAMES_00240.wav,4.8728
KAS_F_NAMES_00248.wav,5.4381
KAS_F_NAMES_00259.wav,6.0466
KAS_F_NAMES_00260.wav,5.6931
KAS_F_NAMES_00263.wav,5.8406
KAS_F_NAMES_00264.wav,5.8725
KAS_F_NAMES_00293.wav,6.0969
KAS_F_NAMES_00297.wav,6.0946
KAS_F_NAMES_00298.wav,5.6282
KAS_F_NAMES_00330.wav,5.9417
KAS_F_NAMES_00358.wav,5.5819
KAS_F_NAMES_00363.wav,5.5537
KAS_F_NAMES_00408.wav,5.5912
KAS_F_NAMES_00414.wav,5.7647
KAS_F_NAMES_00419.wav,5.7658
KAS_F_NAMES_00434.wav,6.2538
KAS_F_NAMES_00466.wav,5.8782
KAS_F_NAMES_00469.wav,5.5595
KAS_F_NAMES_00471.wav,5.3801
KAS_F_NAMES_00484.wav,6.9387
KAS_F_NAMES_00488.wav,6.1374
KAS_F_NAMES_00500.wav,6.8667
KAS_F_NAMES_00505.wav,6.1878
KAS_F_NAMES_00511.wav,5.8123
KAS_F_NAMES_00513.wav,6.2109
KAS_F_NAMES_00539.wav,5.2608
KAS_F_NAMES_00541.wav,5.5618
KAS_F_NAMES_00547.wav,4.8722
KAS_F_NAMES_00576.wav,5.7130
KAS_F_NAMES_00582.wav,6.3674
KAS_F_NAMES_00587.wav,5.5302
KAS_F_NAMES_00604.wav,6.4277
KAS_F_NAMES_00610.wav,5.4294
KAS_F_NAMES_00611.wav,5.6610
KAS_F_NAMES_00617.wav,6.1569
KAS_F_NAMES_00627.wav,6.0401
KAS_F_NAMES_00631.wav,5.7984
KAS_F_NAMES_00634.wav,5.9028
KAS_F_NAMES_00650.wav,6.0788
KAS_F_NAMES_00662.wav,5.8129
KAS_F_NAMES_00664.wav,5.6396
KAS_F_NAMES_00666.wav,6.5229
KAS_F_NAMES_00685.wav,6.0029
KAS_F_NAMES_00708.wav,5.6415
KAS_F_NAMES_00720.wav,5.6869
KAS_F_NAMES_00736.wav,5.7126
KAS_F_NAMES_00754.wav,5.6843
KAS_F_NAMES_00786.wav,6.1742
KAS_F_NAMES_00812.wav,4.8524
KAS_F_NAMES_00814.wav,5.2840
KAS_F_NAMES_00823.wav,5.6043
KAS_F_NAMES_00830.wav,4.6224
KAS_F_NAMES_00844.wav,6.4734
KAS_F_NAMES_00858.wav,6.6328
KAS_F_NAMES_00862.wav,5.2313
KAS_F_NAMES_00873.wav,5.9215
KAS_F_NAMES_00878.wav,5.1718
KAS_F_NAMES_00885.wav,5.8075
KAS_F_NAMES_00896.wav,6.7373
KAS_F_NAMES_00899.wav,6.0479
KAS_F_NAMES_00901.wav,6.4266
KAS_F_NAMES_00911.wav,6.4688
KAS_F_NAMES_00914.wav,6.4310
KAS_F_NAMES_00927.wav,5.9855
KAS_F_NAMES_00934.wav,6.6804
KAS_F_NAMES_00944.wav,5.6431
KAS_F_NAMES_00945.wav,6.7273
KAS_F_NAMES_00949.wav,5.9477
KAS_F_NAMES_00954.wav,5.3759
KAS_F_NAMES_00961.wav,6.6150
KAS_F_NAMES_00971.wav,7.3461
KAS_F_NAMES_00977.wav,6.7168
KAS_F_NAMES_01018.wav,5.1155
KAS_F_NAMES_01024.wav,5.9712
KAS_F_NAMES_01028.wav,4.9065
KAS_F_NAMES_01034.wav,5.4587
KAS_F_NAMES_01039.wav,5.9407
KAS_F_NAMES_01046.wav,6.3734
KAS_F_NAMES_01047.wav,6.2105
KAS_F_NAMES_01050.wav,5.9232
KAS_F_NAMES_01054.wav,4.9602
KAS_F_NAMES_01071.wav,5.4911
KAS_F_NAMES_01078.wav,5.6538
KAS_F_NAMES_01081.wav,4.7742
KAS_F_NAMES_01090.wav,5.3773
KAS_F_NAMES_01095.wav,6.4601
KAS_F_NAMES_01113.wav,4.8488
KAS_F_NAMES_01114.wav,5.8521
KAS_F_NAMES_01116.wav,6.5806
KAS_F_NAMES_01121.wav,5.8212
KAS_F_NAMES_01133.wav,6.0893
KAS_F_NAMES_01146.wav,5.8051
KAS_F_NAMES_01160.wav,5.6415
KAS_F_NAMES_01164.wav,5.0403
KAS_F_NAMES_01170.wav,5.9209
KAS_F_NAMES_01175.wav,5.6818
KAS_F_NAMES_01177.wav,5.5225
KAS_F_NAMES_01192.wav,6.2555
KAS_F_NAMES_01194.wav,5.5769
KAS_F_NAMES_01211.wav,5.9534
KAS_F_NAMES_01223.wav,5.7043
